TITLE,USER,COMMENT,LABEL
Ditto x4 volume loop,ThierryGAT,"Hi When I record a loop with the guitar, with the volume knob on max, the volume of the loop is not as loud as the original sound. In addition, the sound is very dry as if all the effects (delay, reverb) are bypassed. An...",awareness
Voicetone HarmonyG XT,Lorenzo49,Dear SirsMy question: Is maybe possible to reassign pedals in HarmonyG XT?I need to switch from one effect (FX) to another during the execution of a song. With the default settings it is only possible to switch from A to...,consideration
Ip2000,greglena0866,On the ip2000 can the tops and the sub be split or sent separate singal,awareness
"""One"" Volume/expression Pedal for G system",ERC,"Hey GuysI already have the Gsys with only one Boss FV500L pedal and ever i use the ""expression"" function normaly and the ""volume"" function inside the loop 1, making my pedal for volume when i on the loop 1, but im lostin...",awareness
Deepmind 12 - phones output with a lot of noise when fan lev...,MiguelCarvalho,"I bought a Deepmind 12 recently (not even a week) but I am having a little problem with it. While using headphones (ath m40x) through the phones stereo output, there is a constant noise if the fan level is above 35 ...",decision
MS 101 -,Jakobthunbo,"Hi,just got a brand new MS 101 yesterday.  Plugged it in today and played for a while. Turned off the machine and after a while I turned it back on. This time the synth starts up but it does not go through the norma...",awareness
KX015 KeyboardAmp Not working,mixedmindz,"Hello,I have an Ultratone KX015 4 channel keyboard combo amp.It recently stopped working.When I power on, all the LEDs on the EQ all blink in a fade-in-fade-out manor.When I turn off power it looks like the capacitors ma...",awareness
"Voicelive 3, monitor not coming through",canoja,I have been having issues with my Voicelive 3 - for the past few shows I have been having issues with my voice coming through the monitor. The voice sound going to the public to the house has been having no issues. ...,awareness
Dry/wet with 2 amps on Flashback Triple Delay and Brainwaves...,aleredspecial,"Hello,I will play on a live stage with a 2 amps stereo setup and I will use two effects, the Brainwaves pitch shifter and the FlashBack Triple Delay.I would need, for both pedals, to have a dry signal on one amp and the ...",awareness
FX loop pedal connection to Veyron Amp,Afromambo,"Hi, i just bought the Bugera VT1001T amp, together with the FSB102B pedal (mute/FX loop). I can't get the pedal to switch the FX on & off, whatever the positon on the pedal (led on or off), the sound remains wet. Con...",decision
Neutron LFO Shape and OSC 2 Shape are not working,arnigjo,"Hi all , and thanks to anyone in advance if they can help me. I updated my firmware on Neutron earlier today (Firmware Updater V2.0.2 for Win) and after that the LFO shape and OSC 2 shape are not working. When ...",awareness
Behringer DeepMind 12 Firmware 1.1.1 Update Not Working,carbonvideo,My DeepMind 12 running firmware 1.0.3 won't update to 1.1.1. I can't find in-between updates anywhere. Anyone have suggestions?,awareness
Harmony G XT - Persistent dry vocal double & fx in mono ...,gibsontaylor,"My unit is in “dual mono” mode & I’m still getting a doubled effect of my “dry” signal through the “mono” channel regardless if the on button is selected or not, the same doubled effect happens even in bypass mode. A...",awareness
Using the headphone jack as a line level output on Play Acou...,dswitkin,"I'm using the Play Acoustic as a mic and guitar preamp/effects box, and then running the output into a Boss RC-300 looper. I don't have any short XLR to 1/4"" cables so I'm using an 1/8"" to 1/8"" cable to connect the headp...",consideration
TC Helicon Voicelive Play Acoustic setting to sound like Mic...,barnesen,"I have the TC Helicon Voicelive Play Acoustic and, frankly, I'm underwhelmed. Very robotic. Not warm sound. I tried my bassists MicMechanic and liked it better. Was all I need.Is there a Preset that can get me close...",awareness
TC Helicon Play acoustic foot switch audible click,LL1106,"I recently purchased this effects box and am gearing up to use it live. I love what it adds to my solo show. HOWEVER, I've read through the manual and this forum and asked people and can't find the answer: When any of th...",decision
Replacement parts,Wilnog,"I had a problem with my Bugera V55 Infinium, due to a fault in the electrical current the transformer suffered a fault, so I had to send it to repair, the problem is that I do not get locally a Thermistor SCK that I must...",awareness
VoiceLive3 Microphone Input Socket,JeremyMurray-Wa,"The VoiceLive 3 microphone input socket is a combi-socket. Are the combined XLR and Jack inputs electrically the same input just with different plug types, or is there actually a level difference between them? ...",consideration
MS-101 firmware updator Mac - OSX,mat1," The firmware updator does not see the MS101 on my Macbook Pro, Mojave. Midi input/output works from Ableton but I cannot see the unit from the actual updator.",awareness
Behringer Model D set up,tannerberendt,Hey so I'm using my model D with a midi keyboard controller and using omnisphere's sound bank.Im trying to route my keys to it but i cant figure out how. Ive tried midi cable straight from keyboard to sequencer. i have a...,awareness
VL3X Hit/Met seems to be malfunctioning,Tess,"I'm so excited beause I recently won a VL3X . It came in the mail a few days ago and the Hit/Met button doesn't seem to be working - it will not respond, I can't access the ""met"" parameters either through the Met or the ...",awareness
Perform V,AlexMarchesi,"I can put the presets via Software VoiceSupport2, but by the App I can not.Is it a configuration problem?Thank's",awareness
VoiceLive 3 - Amp modeling + Drive pedal,rdavid,"First, I already read this topic that talks about those ""amp modeling""https://community.musictribe.com/t5/Vocal/Amp-Models/td-p/237388/page/2#Second, a statement. I find it waaay confusing. I own this pedal since 2014 an...",awareness
tc helicon question,jjohnsonpac59,I have a play acoustic.  My question is if there is a way to add reverb to voice when the preset is off.  I have the voice harmonies and reverb when the hit button is engaged but when I disenguage the voice ( m...,awareness
Can music be played wireless from an iPad through the XR18 t...,ChrisCole,Hi - Newbie here - Bet this has been asked already but could not find anything.  Looking to play my music during breaks using the iPad wirelessly to the XR18.  Thanks!,awareness
Behringer KM750 Microphone,crshearer,Can I plug a 1/4 or XLR microphone into this AMP to power loudspeakers?,consideration
Beatbuddy sync to Voicelive 3,JohnGeoffrey,Does anyone have clear instruction of the best way to sync a beatbuddy to a voicelive 3?,awareness
Alter Ego/Flashback X4 Expression Pedal Issues,Iggick,Nice sounding pedal. Have been a TC user for several decades.Really disappointed in the expression pedal implementation and the lack of responsiveness of TC in addressing problems with this on this board. In researching ...,awareness
MS-101 - Can't update firmware in Windows 10,ThomasBigpants,"Hello, I can't udpate the firmware. I get a message ""update failed. please try again"" - I've retried many times, nothing works. don't know what's going on, nothing seems to happens. Can someone please help? ",awareness
FEATURE REQUEST: Microtonal tuning,Bob_Smoker,"Could you please make a firmware update to Deepmind that makes it possible to use, save and edit microtonal tunings, save them as part of presets, change the root note, and also have the ability to load tuning files (lik...",awareness
Spectracomp Noise Gate,Shaver,Hoping to enlist some help from the community!  One of the stock toneprints “SpectraCompander” includes a noise gate that’s set for below -53 dB. I’m trying to locate where this is specifically dialed in within the ...,awareness
Wireless problems stuff stops working,timothy1970,Aaron and I had a great time in Mexico City showing the people there our amazing TC Helicon gear.  I love the reaction when people first experience harmony out of our products.  Many thanks to Inovaudio for a ...,advocacy
Looking for a Play Electric “preset” for Hey Joe by Jimi Hen...,TheScouser,"Has anyone developed or recommend a Play Electric “preset” for Hey Joe by Jimi Hendrix? Cheers, TheScouser",awareness
Perform VK audio interface playback music harmony,Chris_Sto,"Hi, wonder if music played back over usb audio (ipad or Computer) is recognizing harmonys?Any suggestions? Thanks in advance! Due to lack of VK can not test it.Chris",awareness
VoiceLive 3 Guitar Input Specifications,JeremyMurray-Wa,The VoiceLive 3 Manual states:Guitar connector ¼” phone jackGuitar input impedance 1 MOhmGuitar input level @ 0 dBFS -2 dBU to 14 dBuWhat is meant by that last bullet point?Guitars do not output at anythin...,awareness
MR18 app,danadrums,"Hi All, Don’t know if this is the right place for this, but why not.I recently got the M-AIR app on my iPad, and as I didn’t know what I was doing, I deleted channel 5 from the Scribble Script in the Setup menu, and...",awareness
Line levels with Perform V?,BenFreedman,Howdy...I am wondering if it's possible to use a Helicon Perform V with line level signals instead of Mic level?I want to use it as an outboard insert effect with an X32 (which has preamps at the stage box being run by A...,awareness
TC Helicon VoiceLive Touch 2,aaronvigs,"This product is awesome but only the Harmony mode has a Key input to set the Key of the song.  However, the Hard Tune feature does not have a Key input which is confusing as all Auto Tune Prodcut allow the user to s...",awareness
VL3X edit automation externally on a DAW,JohnShelley,"I swear I watched a video about this months ago, but I can't find it anywhere... hope it wasn't a dream! Can I export-edit-import the automation track from my VL3x?  I have backing tracks and want to fully auto...",awareness
ULM300 Wireless Mic,Fidlr,"I bought 2 ULM 300 wireless mics to go with my Europort MPA200BT PA speaker.  The manual says that both mics will work at the same time, but only one at a time will hook up to Bluetooth.  I am on current firmwa...",advocacy
TC Helicon VoiceLive 3 Extreme - possible faulty foot switch...,sjgowdy,"Hi Folks, After not using my VoiceLive 3 Extreme for a couple of years (work committments unfortunately...) I turned it on this evening fully intending to give myself a refresher course in using it again. But, I soo...",awareness
Voicelive 3 repair,John-PierreConq,The large control knob on my Voicelive 3 snapped off at the shaft. I've tried several times to glue it back on but it never holds for very long. How can I get it replaced?,decision
Perform V,AlexMarchesi,"I pressed the 48v button and can not reactivate the internal microphone, what should I do?",awareness
MS101 Froze upon firmware update,msmortimer,"Hello!My brand new ms101 is all lit up and frozen. All lights are on, its stuck.Help....Marcelo.",awareness
IP1000,SergioD,How do I know if I'm getting a iP1000 or an iP1000 V2,consideration
EUFILL dispatch ETA?,elrion93,I made a RMA for my Behringer UM2 and Music Tribe sent me a new one. Do you know the ETA for dispatching the new device in Spain? (aprox.). Thanks!,advocacy
MS101 Through Boss TE2 (and other) effects pedals,clunk1976,"Hi Tribe! Received my amazing MS101 last week - love it already! However, when routing through guitar effects pedals (such as the Boss TE2) the volume drops dramatically (MS101 thru TE2 then out of the TE2 stra...",advocacy
"Play acoustic ""apply change to all presets""",MarcosSantana,I´m a geeky guy. I time all my delays and reverb decays to the actual tempo bpm and tempo changes of the songs so every song tends to have various preset changes thru the song. Sometimes I change strings to a differ...,awareness
TC Helicon Play Acoustic question,cableman,I’m new with Acoustic Play and trying to work out some bugs.  The auto harmony setting seems to work best but there is an irritating “pitch sliding” which I frequently  hear in the harmony when I sing a new not...,decision
Brainwaves shift up by single step only,jlawrence2158,"Hi I'm trying to shift up a Eflat tuned guitar to Enatural and vice versa using the Brainwaves.  I guess its possible using TonePrint but I can't figure out. I sure wish they hadn't gone ""Cheap"", and just ...",awareness
Voicelive 3 - compression settings,lars974,Hi there ! I sing and play the guitar with a Voicelive 3. I find it yet quite difficult to find some good compression settings.I've some questions for you :- is there a way to compress the voice but not the guitar ?...,awareness
Stereo Sub 'N Up?,Anonymous,I really like my Sub 'N Up pedal.  But I wish it was stereo.  Does anyone know if TC will come out with a stereo version?  I'd by it immediately!,decision
G System brain in the rack controlled by 3rd party midi foot...,StupidDeluxe,"So I bought the Tech21 midi mongoose as everything I read suggested it would do what I wanted it to do, now I’ve plugged it in and tried it I’ve discovered it does ALMOST what I want it to do. so it can change the p...",decision
Where to buy europort ppa 2000 transport wheels,cnotez69,,
Re-triggering on Model D - problems resolved?,bigblip,"I was about to pull the trigger (no pun intended) on a Model D when I read a review in the October SOS issue that mentions problems with retriggering, making the Model D unusable with sequencers and arpeggiators. I get t...",awareness
Rant: Toneprints not editable with BH250 - that's not th...,erotte,"I'm totally fine with my BH250, but the lack of editing toneprints drives me crazy.After looking at advertisement and informations about the Toneprint feature in advertisements and product descriptions again, I must say ...",negative
xr18,kenpoboy,I have the xr18 on my iPad for running my live shows. How do I copy all the shows/scenes to a different iPad as a back up in case the main one gets trashed.....??,awareness
connecting with Q32 ipad app to X32 rack,mpeets,So the singer/guitarist buys an X32 rack.  I try to download the Q32 iPad app.  Q32 won’t download to my iPad Pro.  But it downloads to my old iPad 4.  I get the ip address of the X32 and successfully...,awareness
VoiceSupport 2 version 1.2 will not connect to the interne...,ska,"Hi, Trying to upgrade VoiceSupport 2 version 1.1 to version 1.2 but I'm having a problem connecting V 1.2 to the internet.    Version 1.1 works great including connection VoiceLive 2 and the internet.  Uni...",awareness
Trouble getting sound from my synth to my monitors.,madDog88,"Hey guys. So the problem i'm having is with an old roland d-70 synth. I can't get the inbuilt sounds to play over my monitors. I have it connected to umc 404hd. Midi is working fine, i can use it as a controller and play...",awareness
Behringer europower pmp500,Angy,"Ciao, ho un mixer Behringer europower pmp500, ma come si collegano le due casse passive al mixer? le ho collegate una in R e l'altra in L ma solo una si sente mentre l'altra la musica  resta solo in sottofondo, anco...",
BAM 200 Head,AlanWilkes,HiWhat is the input impedance of the BAM 200 Bass head?CheersAlan,awareness
VLX3 - Problem importing backing tracks,Ricksta62,"Hello all, found in this forum, someone from 2017 who seemed to have this same issue. Someone suggested then, they had success by using MP3 Files, not the recommended WAVE (16Bit-48Khz)...I have not tried this yet, becau...",awareness
Sudden strange problem with X-Air Edit,BurtBicksler,Been running X-Air Edit under Linux (Ubuntu 18.10) with no problems for months.  Shut down as usual last night and today when I bring up X-Air Edit before I even connect to the mixer all the busses and FX faders are...,negative
VoiceLive 3 Extreme Amplifier,Guido53,How can I connect my VL3X to my Fishman Loudbox Artist amplifyer?,awareness
"Voicelive 2, Mute Lead Vocal?",steelgtr,"I can't totally mute the lead vocal on the Voicelive2.  System/I/O, lead mute on, lead still comes out of right headphone. System is set to output ""Mono""? thx bob",awareness
Bug in on-board Deepmind 12D ARP pattern editor (Firmware 1....,marinedalek,"When editing a user pattern and increasing the step count to 32, the change is not propagated to the arpeggiator; the arpeggiator only plays the first 31 steps and then repeats. To successfully play all 32 steps the patt...",negative
Ditto X2,Jwf,"New to the Ditto X2 and having an issue. when I attempt to overdub, the dub starts playing back before i’m finished with the dub. Can anyone help?",decision
How to get rid of the delay on every set up?,renatofuzz,"Tried everything to get rid of the delay effect. If I push HIT button, the repetition stays on. Please help!",awareness
Reverb,Carlosrey,Can you give me advice on how to select the reverb for each song in live concerts,awareness
Perform VE,Yash,"Does the perform VE have an anti feedback feature? Can the perform VE harmonize without an midi information being sent thru and can it harmonize naturally as the perfom V? Can fx's such as reverb,delay and echo...",awareness
Bugera G5 Infinium Problem..,justjumpdave,"Hi, My G5 Infinium was working just fine and out of the blue has developed an issue.  I've lost 90% of volume, and the sound it manages to still produce is tinny, phazed, and hollow.  This is when it is ho...",negative
Brainwaves - TC Electronic,MarcPautz,Spending some quality time with the TC Electronic Brainwaves Pitch Shifter.  Anyone else had a chance to play with one?,advocacy
Bugs on MS 101,Nico91,Hello i have some heavy bugs on my ms 101... midi out and in doesn't work...How i can do??,consideration
"Windows 10, TonePrint Editor & HOF Mini Reverb",FrankKoller,"a brand new HP laptop, lots of memory everything new TC Flashback minithe Editor will NOT load tried all the silly hints about changing USB port why won't TC technical STAFF simply answer this email reques...",negative
Ultratone K 450 FX Low Hum,Bruno1956,I used the amplifier for keyboard about one hour. Then came this very low bass noise. What is played on the keyboard is not emplified anymore. The internal boxes of the keyboard are OK. If I disconnect the keyboard nothi...,decision
TC Helicon Voicelive Play Acoustic question,sonomusa,Hi! Is possible to store or download loops from the TC- Helicon Voicelive on Mac?,awareness
TC sentry: 2 questions,Schecter777,"Hello,I have two questions regarding the TC sentry noise gate pedal, any help would be much appreciated. 1) Parametres in toneprint app? There is no ""official"" explaination yet on what the parametres do (in the case...",consideration
How to relocate Presets on G Major 2 into the lower 100'...,EmeryR,"Hi guys and gals, so heres my dilema.  I have a beringer FCB 1010 controller that I am trying to use with my Gmajor 2.  Everything works fine so far, except I cant program in my favorites selections I like in t...",awareness
Bugs on MS 101,ThorstenBösing,Found some heavy bugs on my new MS-101. Midi in over Midi Din jacks doesnt work. Tryed all 16 chanels over diferent devices. No reaction. CV gate in works in a proper way as long you dont hit a key of the ...,negative
No sound coming from MP-75 to VLT2,alexiso,Hi! I just connected a brand new MP-75 mic to a 2 year old Voicelive Touch2. I ran voice support first and updated the firmware. I went into the Setup menu and chose the MP-75 as input (setup page 1/13) and then played a...,awareness
TC Stereo Chorus/Flanger - Not Working,trevor_powell,"I've seen a couple of similar posts with no resolution, but it here it goes...My Stereo Chorus/Flanger is not functioning properly. The Chorus funciton does not work and occassionally the Pitch Modulator works. Also, the...",negative
spectradrive,nozydog,"Have new spectradrive unit and am wondering if anyone is having similar issues to me when beaming toneprints over. For any toneprint to beam over to the unit succesfully, I have to completely close and re-open the A...",awareness
Ditto X4 : where can I found the software ?,Acolen,"Hi,I have just received my ditto x4 but I am unable to update the firmware as the updater software is not available on any website !?It seems that the ditto x4 firmware and the software have dissapeared fr...",awareness
tc electronic website not working?,gcvrsa,"I was trying to download the manual for the Mimiq doubler, which for some odd reason, I can't find on my laptop, so I can set the DIP switches. But the database doesn't seem to be populating the site, not for Support, an...",awareness
Bias a bugera 1990,FrankBass,My bugera 1990 does not have the bias point adjustment next to the power tubes,consideration
Deepmind 12 help,excv,"I purchased a manufacturer refurbished Deepmind 12 and I am wondering if anyone can help me with problems. (I have contacted support, but they haven't replied back yet) The problem is that not a single button works....",negative
Forum,PetGerbil,"Oi,!! Uli. Stop deleting my posts. If yer gonna start that game then delete 'em all.",
Voice live play acoustic,rpk,Is it possible to totally bypass the guitar effects and run a dry signal out to my amp?   I want to use my electric guitar with the acoustic pedal directly to my amp RPK,awareness
Condenser handheld mic for rock/metal vocals?,Leovan83,"Hello, I’ve always used dynamic handheld mics live (58, 57 and e945), as well as the Shure SM7B in the studio.  However, I’ve been looking at the Beta 87A (condenser) handheld. We are a hard rock/metal ban...",consideration
Voicelive Play blank user presets?,Leovan83,"Hello, I’m looking at the Voicelive Play and I’m almost done deciding however I have 2 final questions: 1) Is it possible to creat user presets from scratch? As in, are there any blank presets where I can manua...",consideration
VL3X what's the maximum number of backing tracks?,AlMorello,What's the maximum number of backing tracks I can load into my Voice Live 3 Extreme? Is it limited to a number or to the amount of memory on the device? How much memory is on the device?,awareness
How to select ultranet channel from XR-18 for Turbosound tfx...,cpopetz,I'd like to purchase 3 Turbosound tfx122m-an monitors to work with my XR-18.  I'd like each to be wired with CAT6 to ultranet.  My question is: how does each Turbosound know which P16 channel it is receivi...,consideration
Looper output through guitar jacks on VL3X,AlMorello,"I usually load in drum loops in loop slots, so it would makse sense for me to oupt this to the same place as a backing track (when using Dual Mono mode for instance). I don't think this is possible witht the voicelive 3 ...",awareness
Behringer Xenyx 502 Premium 5-Input 2-Bus Mixer,Burnhaven,I'm wondering if this mixer will solve my problem.  There are actually two things I'd like to accomplish in the short term. Send the audio of a song from my Android phone out on the same house PA channel as my Line ...,consideration
NX4-6000 Bridge Mode Configuration,jbynoe,"Trying to use the NX4-6000 to power two front of house speakers, as depicted in the attached file.  What should be the Mode switch positions, where should the inputs coming from the X32 be plugged in on the Amp, and...",awareness
Set click and volume as well in the presets?,Martie,I want to know if its possible to fix tempo and volume as well in the presents. I'm working with voiceliveTouch2 for years and can't move on like I want to on stage because I have to change the tempo of the songs and cha...,awareness
BG-Combo: additional pedal required?,fretless1,Hi- I've questions about my 2x8 combo- 1)Will I need an additional pedal to fully utilize the TonePrint feature?2)Does this combo come standard with the chorus effect? Thanks in advance...,consideration
Baseline of this song?,MechaN,https://www.guitaa.com/chords/marlo-mortel-sana-ikaw-na-nga-official-lyric-video,
IP1000 skipping on BT connection,Thorin,"I just bought an IP1000, and like my buddy's IP500's, the signal briefly interrupts every very few minutes while playing music over Bluetooth. We use different devices to transmit,  so ai don't think the ipod or Gal...",consideration
Why is TC Electronic Customer Service so terrible?,96tele,Why is TC Electronic Customer Service so terrible? I have a Ditto X2 looper that worked great up until a week ago. Then suddenly all I get is a growling noisy sound. I tried to update the firmware but the device doesn't ...,negative
Flashback II With Electric Violin,markcthomassr,"I use the Flashback II with my electric violin and love it.  However, I can't upload edited tones through my phone.  It that possible to load onto an electric violin?",consideration
Flashback II Programming,markcthomassr,I have edited tones on my PC using TonePrint.  I saved them with a custom name.  Where are they saved so I can send them to my Flashback II??,awareness
Play Acoustic: Performance Setup With Jesse Boland,TCH-Morgan,"Jesse Boland of Towers and Trees uses Play Acoustic on stage, and here he gives us a rundown of his setup for playing at The People's Church in Toronto, ON!     VoiceLive Play Acoustic is a TC Helicon mul...",awareness
Perform VK Midi sustain,ChrisHurren,"Is TC still in business? An email support message from me on March 20 generated an automated response with a case number and a promise that someone would respond 'within one business day'.  Since then nothing, ...",negative
About the Behringer C200,RonnyFunk,The website showed me the Behringer C200. I searched this item on music store's website and was surprised: 250 EUR in Germany?That is the half of LD Systems MAUI 5 and a quarter to a third from the Bose L1 price.Do you m...,consideration
"Hello, everyone.I am a guitar player and using the old Behri...",manef1975,"I like this unit very much and would like to edit the sound via computer, but i don't have the  edit softwear for it and i don't find this soft anywhere.Please, help me to find the Vamp2 softwear! Thanks",consideration
MS-101 in grey?,hausman,"Now that the MS-101 has been released in Red, Blue, and Black, I'm wondering... is Grey still on the table?  Just trying to decide if I'm pre-ordering one of the current colors now, or waiting for the grey.  Th...",consideration
ultratone kxd12,KXD12,"Does a full user manual for this thing exist or not?  Going to Behringer.com brings you directly to this website, and the only thing that seems to exist anywhere is the quick start user guide.  The quick start ...",awareness
Nova Delay does not power on,RayBob,"I recently purchased a ND-1 Nova Delay pedal used. I know, I know. I used it for several weeks, no problems. This morning it did not power on. I noticed that the wire coming out of the wall-wart was broken. I picked up a...",decision
SCREEN BROKEN - TECH SERVICE PLEASE,robhert," Friends, I had an accident with the screen of my voice live 3, the guitar fall over the led, and the protection plastic it is a lil bit broken, the led is working but with a little white dot on the screen. I can ke...",awareness
ultratone kxd12 klark teknik multi-fx processor,KXD12,I found a reponse to a post that listed what the factory presets are for this device.  But no instructions came with it for creating or uploading user presets.  Can anyone help with that?,awareness
VL3 constant metronome changing with preset,didger,"Hi all,I just picked up a used VoiceLive 3 and I'm having trouble getting it to do something I thought would be a no-brainer. My plan was to feed metronome to our drummer while I sing and trigger pre-recorded loops....",awareness
voicelive touch 3?,dcaldon,I'm planning on buying a vocal processor and am considering the voicelive touch for its looping functions. I realized that it's been 6 years since it came out and i'm wondering if the new one is going to come o...,consideration
Perform V for saxophone,Alexbb,"Got a Perform V and would like to find a setting of Church or Cathedral sound, can anyone give me an advice, thanks in advance.",consideration
Service manual for Bugera 6262,audiomagnate,I couldn't find one in the download section. Can I get one? Thanks.,awareness
Voicelive play set up and pitch correction,IgnacioDePaz,Hi there I am looking at the Voiceplay Liveand I have some questions that I hoe you can help me.I play rythm electric guitar in a band and I would like to start using the Voiceplay Live in my backing voices.My ...,consideration
DeepMind patch organizer?,Ericwiththeband,"Does anyone know if there’s a plan for a DeepMind patch organizer in the works, either from Behringer or a third party company? I’m a touring musician with several different bands, and the one thing holding me back ...",awareness
VL3X Bass in loop,Guido53,I want to record a loop in my VL3X. I start from a preset with the effects already integrated. How can I change my guitar sound into a bass and add some bass riffs in this loop without having to leave this preset?,awareness
Voicelive 2 Output,Trev_B,I have recently purchased a Voicelive 2 which I think is fantastic.I am a singer and am using backing tracks connected to the Aux input in order to ensure harmonies follow the music.The output from the Voicelive 2 is a c...,advocacy
Air X18 Access point key not saving,DeadShady,Hi. I recently bought a Air x18 for our band. We've got a gig comming up soon and i'd like to use it for the first time but i'm a bit concerned I cant seem to save a key password for the wifi. I'm using a iPad Gen 5 and ...,consideration
Voicelive 3 extreme Performance Import/Export,garydward1,"Is it possible to export then import a preset, the associated backing track, and the effects automation?  I tried for the first time today.  The Preset and backing track were exported from my device and importe...",awareness
FX150 meter mode,AlanSettle,,
TC Flashback Mini - The Basics,GBNZ,"Hi,After a bit of trawling online I still have some questions about the functionality of this pedal that I'm hoping someone can answer for me.  They are pretty basic questions and I'm a bit surprised the doco and tu...",consideration
Is it possible to rool back a firmware update for the Behrin...,EddieRos,Have recently updated my Neutron from the default firmware it came with to v.2 and find  that the machine is no longer recognized by Windows. Why is this and  how  can I fix the problem?,awareness
INUKE NU6000DSP,IsraelBailfuss,"Hy, Im forgot pass on NU6000DSP, how proceed? It´s possible make a reset?Tks... ISRAEL PROSHOWS BRASIL.",awareness
Neutron basic sound check,JustinRoman,Is there a way to check if my Neutron is producing any sound output at all?  I'm having trouble triggering the envelope (E. Gate 1) via the gate outputs on my other equipment and I want to just see if the Neutron wi...,awareness
Voicelive Play vs Voicelive Touch 2,Mona13,"Le canal midi ne rentre pas les informations de mon clavier en midi dans mon VTLC2,et ne me fait pas les harmonies voulues. Y a t il 1 reglage particulier?je pensais que midi out du synthé entrant en midi in du VTL2 suff...",
Voicelive 3X preset order,tdblanchard,I have 22 presets with backing tracks and sequences recorded for foot switching. If I change the order of my presets will all of the associated data move with it?,awareness
Voicelive play set up and pitch correction,IgnacioDePaz,Hi there I am looking at the Voiceplay Liveand I have some questions that I hoe you can help me.I play rythm electric guitar in a band and I would like to start using the Voiceplay Live in my backing voices.My set u...,consideration
Tc helicon,Mona13,Bonjour Je n'arrive pas à  faire marcher l helicon avec mon entrée clavier midi.Quelqu 'un peut il m'aider,
TC Helicon Play acoustic + Boss Looper question,giuseppe618,"Hey,I have a question for you.I use a TC play acoustic with my boss rc300 and I would like to have a single output from the THPA to the PA.The setup I thought is as follows:Guitar-->Pedalboard-->TC Play Acoustic Gu...",awareness
TC Helicon Harmony GXT,DavidAbraham,"Just purchased a Harmony Gxt unit. The ""guitar"" knob has no effect on the guitar level no matter what position I put it at. I have my guitar connected to the ""in"", the microphone is connected to the mic ""in"", the microph...",consideration
Routing Challenge XAIR18: monitoring headphones output indep...,sulfeet,"We are a five member band and have following situation:AUX 1: monitoring vocals 1AUX 2: monitoring guitarAUX 3: monitoring basAUX 4: monitoring vocals 2AUX 5-6: stereo monitoring guitarAs a drummer, I want to use the pho...",awareness
Swells for Mini HOF or Flashback,Josiahb,"I am striving to create a volume swell on either or both of a HOF Mini or a Flashback Mini through the toneprint app... similar to Strymon’s “swells” on their Timeline and Big Sky, and on the Zoom MS-70CDR with their “Sl...",awareness
ditto x4,mac972,"Bonjour J'i un probléme avec ma ditto x4, je la branche les 4 leds s'allumme mais elle ne demare pas.Y a t'il une manip de reset.",
TonePrint on Flashback Triple Delay ignores parallel setting,aleredspecial,"Hello! I have an issue with TonePrint and the Flashback Triple Delay. It seems the Parallel option is always ignored.I tried to create a 800ms delay on route 1 and a 1600ms delay on route 2, but both are stored as 800 ms...",awareness
help me,Diegodiegogali,"Dear Paul, or who can help me....some week ago i wrote you for to understand how to have controls for headphones on bus1/2 chained, but now i have some probems, i have midas mr12, we are 3 acoustic guitars (3 stereo...",awareness
Deepmind12 - Breath Control to VCA Active in Mod Matrix does...,Bjoern,"Hi, new here, didn‘t find any thread on this special issue: Having a Saxophone Player background, I bought the Deepmind12D, because of the great polychord function and the sound for my good old Yamaha WX7 and W...",awareness
VoiceSupport2 - Preset Packs,bentstavanger,"Hello Everyone, I have a VL3X that I connect with VoiceSupport 2. Usually I am offline since I don't have an internet connection where I am working. There is no problem working with the program, since it only has to...",awareness
X32 Edit software no longer available for download,musicmad,"Hi there, Today I can't find the x32 edit software on the site for download? Am I looking in the wrong place? Nikolaj",awareness
Button map VL3X,Guido53,,
Voicelive 3 extreme volume pedal,tdblanchard,So I have to say I’m absolutely loving this thing to death! I just went to guitar center and picked up an expression pedal so that I could put it in as a volume pedal. however when I assign the expression pedal to ...,advocacy
Audio Cue function - Voicelive 3/VL3X?,benontheboat,"Hi, Does anyone have experience using the Audio Cue function on the Voicelive 3 or VL3X?  I just dowloaded the most recent firmware update and would like to make use of this ""Auto loop start"" detection feature,...",awareness
Deepmind 12D Noisefloor Issues,NIMBVS,"So I recently purchased a Deepmind 12D, and love how it sounds.  Really punches well above its price suggests.  However, there's a ton of audible noise that ramps up from around 200hz to 20K, with its most audi...",consideration
Switch 6 and Play Acoustic,Duffer,"I just got the Switch 6 to go with my Play Acoustic unit. Looking through the setup screen, I find that I don't quite understand the labels. For example, what does it mean that an effect is momentary? Is there a lis...",consideration
Tariqh Akoni Rehearsing for Quincy Jone's Soundtrack of ...,julietan,,
Vyzor editor link for G-Major 2,Mr-Moog,"Hi guys, just bought a G-Major 2 with Firmware V1.3 R244. Does anyone know where I can download an actual version of the Vyzor Editor for Windows/Mac? Greetings",consideration
Chatting with Guitarist Tariqh Akoni re TC Electronic Polytu...,julietan,,
BAM200 Head,bass_jitsu,"I'm really interested in the new BAM200 that's supposed to hit U.S. stores any day now. I'm looking for something small and portable to replace my older, bulkier amp. However, I have a couple of burning questions:1) How ...",consideration
