Controlling lead mute,BrooksBrown,"I make heavy use of lead mute. My problem is that this makes switching presets time consuming because I have to make two switches: change the preset, and then go into setup and change lead mute off or on.Is there a way o...",Classification,Confidence
Loudness Contour Volume Issue,AlexHeien,"Hello!I recently got a Model D, and I'm not sure if I am still inexperienced in it's use or if there is something wrong with the product. Often, I find that the sound being produced loses volume very quickly, and often a...",decision,0.557
RH450 noisy gain control,Slofut,"I have two RH450's and with the Master set at 12 oclock, when turning the gain/Spectracomp up I get a very noticeable hum that increases in pulses that correspond to the detents in the control as I turn it up. You hear t...",awareness,0.359
Trirec Infinium failure,ShawnKemp,"So here's the story, I have a 333xl infinium that's my gig head. I have been looking for a Trirec infinium and found one used at a Guitar center near me. The problem is that it was traded in working but doesn't work no...",decision,0.438
Mimiq & Sub N Up Question,Garyl,"Hey all, I own both pedals and would appreciate your opinion on weather both or which one of these works better through the effects loop or in front of the amp?",decision,0.385
Voicelive Play GTX,BradShowalter,"Greetings, I currently own a VoiceLive Play GTX. The case is finished in an off white. I have discovered that the new VoicePlay Live is finished in blue and is not labeled ""GTX"".Was the GTX discontinued and is there any ...",decision,0.37
"No Rack Ears, not 19"" / 84 HP",JeffSepeta,"I had falsely assumed from the photos that the Neutron would be 19"" wide / 84hp, perfectly sized to fit my Eurorack synthesizer. This is neither the case for the Neutron, Model D, and I'm going to assume for the upcoming...",awareness,0.6
ChorusOnly sounds weird on FB2,hgu,Hi! I wonder if any one else have problems with the ChorusOnly Toneprint on Flashback 2?It sounds weird and the mapping is not as supposed. /Hans,awareness,0.63
"VL3E and Voice support,",JackORyan,"In a video, I heard there is a '500 pack' in Voice Support.Does that have to be purchased?Thanks so much for our help.I just bought the VL3E a few hours ago to be delivered Saturday. I plan to use with my song composing....",consideration,0.347
"TC-Helicon VL3X - Direct-to-USB: Wave only contains Guitar, ...",ThomasStadtmüll,"Hi There,Let me first state that VOICELIVE 3 EXTREME really thrills me and I am a fan of the concept of ""3 devices in one"". I have recently upgraded from VOICETONE HARMONY-G XT which before had opened a new world to me a...",decision,0.388
DeepMind 12 App on Linux,YasjadeMiranda,"I'm happy to announce that the DeepMind 12 App for Windows works fine through Wine. If you're using ALSA as the sound backend on linux, hook up the DeepMind 12 over USB and install the development libraries for alsa and ...",negative,0.296
Play Acoustic - Can I mute the guitar recording input?,MiriamIngram,"Hi there, I was hoping you might be able to help. Firstly, I'm pretty new to this. I was thinking of buying the Play Acoustic for live performance with gtr and vocal. I want to be able to mute the guitar input so that I'...",decision,0.538
Play Acoustic muting record for guitar input?,MiriamIngram,"Hi there, I was hoping you might be able to help. Firstly, I'm pretty new to this. I was thinking of buying the Play Acoustic for live performance with gtr and vocal. I want to be able to mute the guitar input so that I...",decision,0.538
SpectraDrive question,nikokaoja,Would it be possible to somehow tweak this pedal so that the compression would always be on (and set with the knob) and the bypass footswitch would engage only the EQ section? Maybe this could be done via a software upda...,awareness,0.652
Vocal EQ,lisciandro,"Is there a way to have eq settings, like treble, bass and mids on the vocal layer, like in the amp section for the guitar?",awareness,0.381
Adaptive tone,DonWishart,"Hi,I have a Voice Solo FX150 and a Play Acoustic.Am I right in thinking the Play Acoustic has this 'Adaptive tone' built in and therefore is there any need to engage the adaptive tone of the FX150?Thanks for your thought...",awareness,0.358
No MIDI-Out from Reaper after updating firmware,VaughnStegeman,"So I just got my brand new Behringer Neutron synth today. Finally.It took me awhile to figure out how to get the MIDI from my Arturia MiniLab into the Neutron, via Reaper, but I finally figured it out. Okay, cool. (Had t...",awareness,0.408
I keep getting errors when trying to register my Neutron,VaughnStegeman,"So I've tried multiple times, but cannot get a serial number recognized to register my product.The serial number on the back begins with S, followed by 9 numbers, then CM5What do I enter? I don't have 11 digits. Adding t...",awareness,0.634
Boost/OD and Compression before the G-System input?,ssaudio,"I'm new to the G-Sytem and would like some advice. I have too many pedals I want to use and not enough inputs. For overdrive pedals I have a Nova Drive (just purchased), Rivera Blues Shaman, HS Sweet Tea, Xotic BB Prea...",decision,0.462
You can drive a spring reverb tank w/ Neutron’s headphones o...,JuhoKosunen,Not sure if this was already obvious to everyone else but I recently discovered that the headphone output of Neutron is more than enough to drive an old spring reverb tank I had just lying around... all you need are jack...,awareness,0.31
Trirec manual,TomasSorlen,"Hello! I just bought a used trirec, is there a manual available for download somewhere?",decision,0.444
Midi Control of Looper,litesnsirens,I noticed in another thread that you can control the looper of the voicelive touch 2 via midi using CC 44 and then various values for each control option such as play or record or stop.I tried using CC 44 on the voice li...,awareness,0.595
Vocal Harmony Global Settings,Aaronkeithmusic,"Hello TC fam,Quick question....is there a way to set ALL vocal harmonies globally to a specific volume I want them to be? If so, where and how can I make that change happen?I'm wanting to set all vocal harmony parameters...",awareness,0.688
Voice live touch 2 sysex,AdrienSeron,"Hello,I'd like to control the vlt2 from my android smartphone (using midi commander). I can do it but some parameters are accessible only by using sysex messages. Is there a sysex reference manual for vlt2 somewhere ?",awareness,0.751
Default Track gain,DennisDubeau,Hi folks... Anyone knows how to set the default track gain on a value other than -1db ? I know I can set it as per preset but I am talking about the default value... because if you select another backing track using the ...,awareness,0.685
Ditto Jam X2 - TRS Input,Janko,"Hey,I wanted to ask if it is possible to feed signal to the Ditto Jam X2 Mini TRS input from something else than the included mic - a click track for example?",awareness,0.515
Display Non-Functional (Gremlins) [SOLVED],YanniFyssas,After booting up the display looks like this (see attached) !!!Video Below:[video]https://photos.app.goo.gl/TQh5B2M1SN8vssKF6[/video]I updated the firmware and it went back to normal but now I am concerned should this ha...,awareness,0.366
MIDI IN - aftertouch message,AharonArtur,HI I am trying to send midi aftertouch message to Deepmind 12 by External midi devicebut there is no respondThank you for your help,consideration,0.733
VL3X preset stuck in looper mode,mikebrietzke,Here's the situation.1. Preset 1 has a loop slot assigned.2. Preset 2 has a backing track.- Even after powering off I am unable to change the loop slot in Preset 1.- If I switch from preset 1 to 2 preset 2 is stuck in lo...,awareness,0.722
toneprint - BG205 210 - Mobilephone,Thrill66,"Hi,bought yesterday my BG250. Everthing works fine but updating the toneprint slots via mobilephone works once and then never again.I tried several ways to do it again. I made a firmware update with the BG. I can hear th...",decision,0.462
Turning On The Metronome Changes BPM,BenPearce,"I have a 94 bpm loop in my 'looper load slot', when I change to the preset the looper detects the tempo as expected, but when I turn on the metronome it changes the tempo to 256.Does anyone have idea of what might be goi...",awareness,0.535
Pitch CV off by multiple octaves,AntonRiehl,"I've recently setup my Model D in my eurorack, and went to program some sequences on it, but the pitch was off by multiple octaves. When I connected USB for playback, it seemed to play at the correct octave. Will the CV ...",decision,0.585
Ideal VPL settings to hold a long vocal note?,BryanWoolley,"Trying to figure out a setting that will take a note and hold it for a very long time. Basically, seamlessly repeating a note. Anyone using such a setting?",awareness,0.249
detune on delay repeats,primerib,"So I'd love to have delay repeats that detune. So say I hit a note, that note repeats but each time it is detuned a bit. Anyone know if this is possible?",consideration,0.401
Tone Print Editor doesn't work,Victor64,I downloaded the latest version of the Toneprint editor on my windows PC. It does not have any of the features it is shown to have. There are only a list of effects that do not do anything. Specifically the Sub n Up Octa...,awareness,0.626
Manual for Ditto Jam X2,LEG,Greetings... I found manual for Ditto (which helps) but not for the Jam X2. Is there one available on line that you know of? Thanks for any help!,awareness,0.551
Voicelive Play and IEMS,BryanWoolley,"Hi,I've just received a VLP. In my live shows, I use a wireless mic and in ear monitors. Seems to me that if I hook the VLP up, I'm going to hear the VLP ouput AND my own voice with my IEMs, which I would think would co...",consideration,0.316
AKAI MK249 doesn't seem to sync with VL3,TerenceJackHerm,I had the VL3 hooked up to other midi sources but no matter what I do I can't seem to sync my AKAI MK249 w/ the VL3. Midi out Aka - in VL3 Midi notes loose setting Everything is checked and doesn't seem to work. Same Mid...,decision,0.541
G-Force True Bypass,JohnnieChester,Trying to figure out how to create a true bypass to save as a user preset and access from my ground control foot controller. Playing live it is not possible to press the bypass button and I want to turn on and off my G-F...,awareness,0.626
Play Electric with Line6 FBV pedal,ChuckWyman,Can a Line6 FBV pedal be used to control the Play Electric?Sorry I'm awaiting delivery of my Play Electric and haven't actually used it yet. A friend has a Line6 FBV pedal and I was wondering if it can be used like the ...,consideration,0.571
RH450 connecting with external effects via backside insert j...,oreiss,"Hi folks,I wanted to connect my RH450 with the external multieffect Lexicon MX200,via the backsid insert jacks (send and return). But I have only an unpleasant noise and no sound.Any ideas? Does anyboday already used ext...",awareness,0.704
RH450 connecting with extern. effects via backside insert ja...,oreiss,"Hi folks,I wanted to connect my RH450 with the external multieffect Lexicon MX200,via the backsid insert jacks (send and return). But I have only an unpleasant noise and no sound.Any ideas? Does anyboday already used ext...",awareness,0.704
IOS users questions/queries,TimmyYoung,"I am guessing that not many of the forum members are using iOS, but I was thinking it might be useful to have a section in the forum where queries, hints and tips could be found.So far I have found a way around most prob...",awareness,0.716
Saving hardtune scale with preset,LouisIsaac,Hi there!I'm using a touch 2.I'm trying to work out how to save a scale for hardtune or Harmonies within a preset. Anybody know how it's done?,awareness,0.766
Bugera V22/V55 Infinium - Rackmount version suggestion,CarlBonnetrouge,"I own a Bugera V22 Infinium combo and it's a superb amp. Love its clean sound, all my guitars sound great through it. I've seen the head version of this amp as well.I wonder if Bugera ever thought of releasing a rackmoun...",advocacy,0.404
Boss is going copycat,DennisDubeau,"Boss has a new processor that tries (keyword) to emulate voicelive 3.. Their problem is it doesn't even come CLOSE... If you think programming voicelive is not easy, try with boss.. you will find Voicelive a BREEZE!!! lo...",negative,0.751
Can't hear sound connecting Deepmind per USB to PC,MiguelMioskowsk,"Hi,the DM is my first external synth and so I´m a really big noob with all the stuff.So before getting the right soundinterface I tried to connect the synth via USB to my pc, so I can play with it in my DAW (FL-Studio).B...",awareness,0.528
The Gerbil-Toneamatic,PetGerbil,"How about a pedal that just gives out a test tone at line level ?Like those test-tone cd's that were/still are available...You could say ""Just use a phone or something to play a tone...""and I would say ""That's no good as...",awareness,0.386
True Bypass,Dudell2000,"I've been playing with my Voicelive 3 for a couple of years now. I haven't been able to use guitar because it ruins my sound. I have played with levels, no amp, acoustic. There's no way to get an uncolored sound. I reall...",decision,0.581
Keyboard crash continues after cable fix and firmware update,BruceOliver,"My Deepmind 12, suffering the well known, oft described, keyboard scanning crash, was serviced by an authorized Behringer warranty facility, with the ribbon cable fix applied as per the service bulletin. It was reporte...",negative,0.535
Space Celestial sound,PierreGermain,I'm looking for a setting with the mic mechanic that has been eluding for a while. I want to create a spacy celestial voice for backup.,consideration,0.422
Quintessence unusual intervals,Serg_Katsur,Hello! I would like to ask a question: Can I set the Quintessence to produce an octave up major 3rd (+16 semitones) blended with dry signal using TonePrint? I realy need that feature,consideration,0.31
IOS app,TimmyYoung,"Hi, new owner here.I have just spent an hour or so using the app and it seems pretty simple to use. There is one thing that is confusing me though.I created a bank of my own called Mine A and copied over the voices I lik...",awareness,0.572
Replacement Lens for VL3X,GuiSmith,"I accidentally dropped a CAPO on the display lens to my VL3X. It cracked, but everything is operational. Any idea about getting a replacement? looks fairly simple to take out and replace DIY...",awareness,0.536
New recording showcasing some cool patches,Baldadi,"Hi all,I created a song this evening with a couple of nice Nova System patches.Going direct into my RME Fireface, for the first time using Speakersim ON.I used Preset #38 [02-2] AMBIENT from the limited edition for backg...",consideration,0.491
Using toneprint on BG250 - 208,Gipsywayne,"I have bought a BG250-208 but am having problems with the tone-prints. I tried to download the app on my phone which is a HTC Desire 510, but it says the software is not compatible with the phone so it won't download, s...",awareness,0.616
Using toneprint on BG250 - 208,Gipsywayne,"I have bought a BG250-208 but am having problems with the tone-prints. I tried to download the app on my phone which is a HTC Desire 510, but it says the software is not compatible with the phone so it won't download, s...",awareness,0.616
Perform-VK: Access To Multiple Presets?,CharlesFoley,"I've been using the TC Helicon Perform-VK for a couple months, and as a singer/keyboardist, I'm impressed by the Perform-VK. I also like the Perform-VK App that has a large library of presets you can search for by Prese...",awareness,0.364
tone print editor recalling print,Motoxron,I made a tone print in editor and stored it to the hall of fame II. I didn't save the file in editor. is there a way to pull it out of the pedal/ open up the settings so I can save it in editor?,awareness,0.467
Bugera 6262 transformer,KirillBaskakov,"Hello. I want to buy this amplifier, but it went to a friend with a voltage of 110v. We have a 220v outlet in Russia. Please tell me if there is an opportunity to switch the power transformer of this amplifier to 220v, i...",awareness,0.602
"Broken ""Harmony"" switch",VernonNeeley,Hello and greetings from Denver! I used my VL3x for the first time live last week. I primarily use the backing track function and sing and/or play sax through the processor. The Harmony button doubles as the play butt...,advocacy,0.383
Toneprint Mac App,HotRodDeluxe,"I've got 3 toneprints I created in my slots. Is there a way for me to connect my pedal (Quintessence) and edit the toneprints? The software seems to only allow me to load in a toneprint before I can edit it, but I didn't...",awareness,0.75
Voicelive - design software or different guitars,WalterNagel,"Your products are mostly for sing-songwriters, which use generaly one microphone, but in many cases they have more then one guitars.I have 4 guitars (acoustic, dobro, uke) and use the harmony-G XT - but i can only use it...",consideration,0.607
VL3 ex. MIDI CC for Track Start/(Stop),FelicianKalmus,"I was looking to set MIDI cc control to or from VL3ex and a given device when pressing PLAY on backing track. Any solution, FW upgrade? Would be very nice!Cheers, F",awareness,0.63
BH550 Toneprint doesn't load,DrekBass,"Hello ! Sorry for my English !I just bought this BH550 with 2 toneprint, and i want to load another FX but it doesn't work.. I have downloaded on my phone the app and i follow every step, the little light flash but it do...",awareness,0.33
Harmony/FX control,BretHamer,"Harmony/FX controlJust purchased the TC Helicon VoiceTone Harmony-G XT Vocal Effects Processor, the harmony knob doesn't seem to lower or raise the harmony vocals. If I turn it all the way left, it turns the harmony off,...",decision,0.339
Harmony/FX control,BretHamer,"Just purchased the TC Helicon VoiceTone Harmony-G XT Vocal Effects Processor, the harmony knob doesn't seem to lower or raise the harmony vocals. If I turn it all the way left, it turns the harmony off, but slightly righ...",decision,0.617
Hall of Fame 2 NO Reverb sounds - Only Dry sound,jasonphilly77,Hi there! Bought my HOF2 two weeks ago and loved it up until last night. No reverb sounds at all are coming through it. Only dry signal as if it were bypassed. I started practice and made it thru 2 songs but didn't use t...,decision,0.25
RS 210 cabinets - more than one tweeter/ version?,freon,"I am about to purchase RS 210 cabinets. I am considering both new cabinets or 2nd hand. I have noticed that some reviews/specifications describe that both 10´ speakers contains a tweeter, and others (most of them) descri...",consideration,0.533
default OSCs volume in the filter,PeterPeak,"Recently I discovered/realized, that default input to the filter is probably so high, that it's easily overdriven and it unpleasantly, ""digitally"" distort/clips at signal peaks, or quite badly at various resonant cutoff ...",decision,0.583
A reminder about looping...,DennisDubeau,"Just sayin' : Voicelive 3 extreme is NOT designed as a looper to start with. It is first and foremost a voice processing unit, and a stunning one at it... Guitar processing is a WELCOMED bonus and so is looping... the a...",consideration,0.362
Arena Reverb Toneprint Question,jmstritt,"Hey everybody, I am a newbie to the forum. I recently got an Arena reverb pedal and love the sound (Especially with the long predelay). 1.) On the toneprint app, the only reverb toneprints I see are for the HOF, HOF2, an...",decision,0.586
Perform VG effect buttons not working.,JeppeDamgaard,So this is now the second time I experience this problem.I power up the device as usual cables in etc. then I cant adjust anything else than the master output. It wont let me adjust on mic gain or any of the effects. But...,decision,0.337
Soren Anderson vortex toneprint not working,Daddy_rocker,I updated vortex with the Soren Anderson flanger tone and it does not sound anything like the supporting video showed. The video showed a great Van Halen tone using the vortex and a distortion pedal. I have loaded the ...,awareness,0.198
viscous vibe extreme power drop,ac7922303,viscous vibe when engaged has a more than 50% power drop in signal. Tried various amps and cables. Had one previously and did not notice any huge power loss when engaged. This would be unusable in a live situation. Thank...,awareness,0.692
TonePrint Transfer,sleiweke,Is there a way to transfer my tone prints I've made on my computer to my phone or my iPad?,awareness,0.579
Perform vk not passing midi through usb,DanielRaizer,"Hello all, Isn't Perform VK able to pass MIDI that is received on its MIDI port to the DAW through USB? To record harmonies in real time I have to hook up my MIDI Keyboard via it's own USB port and also the MIDI port int...",consideration,0.362
Any plans to expand the memory of VL3X?,MortenFaerestra,"I'm using the VL3X for pub gigs, playing on top of backing tracks, and it's working very well, being able to do all vocal and guitar processing, and the steps also is just a fantastic feature! The only issue is that the ...",advocacy,0.664
separating the harmony and guitar channels,PatrickDavis,Hi everyone. I'm new to this forum. I own a Voicelive Extreme 3. Could someone explain why when I'm in the Harmony layer each time I select a harmony patch the guitar patch also changes. Is there a way to maintain the sa...,awareness,0.434
Input Gain for VoiceLive Play,AllenJesudasan,"Hello everyone,I'm a first time poster. I picked up a VoiceLive Play unit about 3 months ago. Over the moon with the features. We just started up a band and the vocalist used it and we were very thrilled with the result...",advocacy,0.671
Toneprint editor: HOF2,MudPuppy,"OK...I have search all the how-tos and FAQs, and even watched all the youtube videos, and I can't find out how to really use the editor. It all seems to be sales propaganda, not technical info. I can beam toneprints fro...",awareness,0.606
"Flashing ""NP"" on Voicelive Touch @ - anyone know w...",KathyFigueroa,"I tried YouTube & the full manual and can't find it. What does the flashing ""NP"" in the lower right corner mean?",awareness,0.605
Ditto Mic Looper,MichaelMcGahon,"I have a condenser mic to Ditto Mic Looper, Looper to mixer, mixer to active speaker. The input signal from looper is very low and the channel vol is up full which gives a hum and distortion from the speaker. Any ideas p...",decision,0.417
"Making a ""STEP"" momentary, not latched",JohnKilgour,"Thank you for letting me into the group! This is my first post! My question is about steps in the vocal layer. I have 2 steps set up, and I would like step #2 to be ""momentary"". Is this possibe to do? When I go into ...",awareness,0.597
Velocity to CV is basically useless!,AndyButler,"Hi everybody, me again.Here's the latest issue to turn up.When ASSIGN is set to output a CV to represent midi Velocity the following happens.On Note-On from keyboard a voltage is produced, good range fpr controlling VCA....",awareness,0.49
Voivelive 2 Only Voice in Headphones,IvanMuhanov,"Hi,is it possible to hear only voice in headphones from VL2, without guitar? How could it be set up?",awareness,0.531
Barefoot Buttons (Switch Toppers) overview video demo,BrianJohnston,"I don't own the company, nor am I affiliated or sell the product... I did a short demo on a nifty product to increase function, comfort and appearance of pedals:https://www.youtube.com/watch?v=lVFE5DlPtKY&feature=you...",negative,0.598
TonePrint user presets sharing,Memag,"Hello,I wanted to ask a question about TP software and user presets.Is there a way to have custom user presets (created in TP editor on PC) saved to a ""private profile""and then downlaod them to android device,or a way to...",awareness,0.692
Stuck Arpeggios - Intended? Or Broke?,EnjoyRC,"Quite often when A has TAP/HOLD set for the arpeggio, I hit a note, it plays as anticipated. But if I move onto the next patch, and it is also an Arpeggiated Patch, with TAP/HOLD set, it starts playing immediately. Wit...",decision,0.438
Pitch Correction Only with VoiceLive2 ?,JamesHill,"Hello, what is the best setting for Pitch Correction Only with VoiceLive2 ? Thanks In Advance for Any Help.",decision,0.734
Ditto X4 - Is it reliable now?,BertRoger07,"Hello, I’m considering a Ditto X4 looper. Unfortunately I’ve read many posts from people having serious issues with the unit. These posts seem less frequent since the latest firmware was released last year- so my questio...",consideration,0.219
Using Voicetone R1 connected to Aux send and return on an a...,ShefiYishai,I know the manual said it is possible using XLR to TRS cables (lowering the mic gain to min on the R1).I would like to ask if someone actually did that and is it working smooth.Most important how is the sound?Thanks!,consideration,0.614
Independent Envelope for 2nd Osc,FelipeGonzales,"Has anyone tried to patch an independent amp envelope for the 2nd oscillator?I am using a Korg SQ-1 with two separate CV / Gate tracks. CV A goes to OSC 1 pitch, Gate A to ENV 1, CV B goes to OSC 2. But I can't get to tr...",awareness,0.473
WRITE Program > COMPARE Presets = Automatic load into Buf...,DenIshu,Hi - if i want to WRITE a Program and COMPARE it with the one to overwrite - i have to press COMPARE > Switch the Preset and again press COMPARE and Switch the Preset to pre-listen the sounds...It would be much easier...,awareness,0.585
TonePrint App User Feature Request BPM,sleiweke,Please please please add the option to edit delay times in beats per minute on your tone print app for delay and other rhythmically based effects. It takes too much time to sit and calculate milliseconds during session...,awareness,0.521
MIDI CC# questions,Chrisskidgel,"Hey there all! Here is my dilemma. I have my gsystem controlling my Mesa TC-50 and my nova drive. I want to be able to channel switching and turn the OD or distortion on or off, but these share the same CC#. In other wor...",awareness,0.612
Perform V - Still have volume fluctuations after firmware up...,ChristopherKnol,"The last Perform V firmware update should fix the problem with the volume output but it still persist in my case. If i hold the ""Set"" Button and let the volume set automatically it's normal and after a quite while the mi...",awareness,0.42
What rack effects processor will work with g system,TheFight,"Hey guys, I'm a long time g system user and lately ive been looking for something fresh. I'm looking for a ONE space rack effects processor to pair with the g system for extra effects. Ball park effects like Eventide, Le...",consideration,0.71
Piano Sustain Pedals as Tap Tempo Input For Flashback 2,AmitGold,"Hi,Just got a Flashback 2.I read that piano sustain pedals can be used as tap tempo input,I have activated the tap tempo option on my unit, but still, it does not work.Do I need to buy a regular tap tempo pedal?",decision,0.521
"New member, HoF2 question",coyote-1,"Hi,After an eternity of not owning TC products I am now an owner of the Corona Mini chorus and the HoF2 reverb. These are great pedals, worthy successors to the Boss pedals they are replacing. Anyway, my first ‘issue’ ha...",decision,0.23
How to backup my Nova System settings using a mac???,bower_steven,"Hi all,I'm new to this forum and new to this system. I have everything programmed for our guitarist, but I can't find a step-by-step process for saving settings to a MAC. I read something about a program used for PC. I u...",awareness,0.638
VL3X Reliability?,KennethKohncke,"Hi, I have a Play Acoustic, and am thinking about buying a VL3 Extreme, ""Extreme"" relates to the price I'm sure! I am mainly wanting the backing track automation and the extras in the harmonies. Anyhow I have read that t...",consideration,0.439
Perform VE quit working completely,DanielEstehghar,"Hello! I am experiencing severe problems with my Perform VE. It no longer gives any mic output when powered up. It merely transmits a constant noise signal, shortly after booting. This is the case even when there is no...",decision,0.462
output volume on 12d,OscarPostma,"i have noticed that the output volume of my 12d is very low and therefor the signal noise ratio is very poor.I now use the headphones out and put it in the line-input of my mixer, which is a lot better.is the something w...",decision,0.429
Flashback Dynamic Delay in Effect Loop problem,swing59,"I have a new Jet City JCA50 Head Amp with series Effectloop.My fav Flashback-Setting is DYN for Dynamic Delay, and it works without any Problem if the chain is directly from Git > Flashback > Input AmpIf i use the ...",awareness,0.576
Bugera 1960 infinium start up problem,AndrewMcfadden,"My amp makes a crackling sound for a short time before settling down at turn on,Today it lasted a long time,What is causing this problem,,any help would be great.regardsAndrew",decision,0.38
Polytune thumb screw thread size and attachment to pedal boa...,jalairo,"Would it be ok to attach Polytune 3 straight to the pedal board with suitable length single screw replacing the factory screw? It has the small rubber feet to hopefully keep it straight, I'm not a heavy kicker. And I hav...",awareness,0.313
Sentry Noise Gate for amp hiss,Scott7v,"Hey guys, I recently bought a high gain combo amp and whenever I'm not playing in the drive channel it makes a hissing sound. I was wondering if putting the Sentry in the FX loop would solve the problem?",awareness,0.39
FLASHBACK PEDAL USING TAP,Ant,"when using the 'tap'type function on the flashback pedal the one that mutes the sound and you play the strings in tempo you want ,well my question is can I change back to the setting the knobs are on after Ive used the t...",decision,0.326
Mapping ASSIGN to note on velocity,reppaz,"Hi,Seems like this CV is reset as soon as you release a key. It would be much more useful (and common) if the CV keeps the last value until the next note on velocity is detected.Regards /Martin",awareness,0.522
program change synchronisation between two GM2,Twizz,"My setup uses two GM2. one before the amp and another in the FX loop.When sending a midi program change, the two units do not switch patch at the same time. this creates a wierd transitionnal sound.Is there a way to make...",consideration,0.332
V22 infinium,RobertHo,Does anyone have anyone experience hooking an hotone xtomp pedal to the either the fx loop or inline to the input? Doesn't seem like I'm getting the proper sound.,decision,0.362
Voicelive3 Extreme - VL3X - Backing Track Lost after Firmwar...,RobertoIacolino,"Hi support, after purchasing a VL3X and connected to the computer, after the update to the last available version, the 2.2.00 build 366, the multieffect lost the Backing Track option in the Looper menu.The option come b...",awareness,0.539
Feedback when Powered Off but connected to Console,GuyLanglois,"Good evening all, I have an annoying problem with my Play Acoustic which seems to me like a Hardware design flaw, like if the cross-point switch was closed instead of open when the unit is not powered.?The problem is th...",awareness,0.441
Undocumented Patchbay Weirdness,AndyButler,"One of the strange omissions for a synth with such complex feature set and patchbay is the lack of a DC Offset voltage.Well, I found one. As soon as you plug into ATT2 Out the normalling for ATT2 Out to ATT1 IN is (inexp...",awareness,0.752
Flashback X4 firmware update issue,enuenu,I had my Flashback X4 working in stereo with 2 amps. Then for some reason I thought I would update the firmware on a Windows 10 PC. I followed the instructions then clicked the green button on screen to start the process...,awareness,0.748
V1.1.2 update is actually V1.1.1 ???,HaydnHamilton,downloaded the new all singing and dancing update claiming to be V1.1.2....this is in the downloaded zip filewhere be though V1.1.2 please??thanxHaydn,awareness,0.684
Question regarding beaming to pedals,ashwin_nat,"Hi, I have 3 TC pedals on my board (spectracomp, SubNUp and mini flashback). If I beam a toneprint with all 3 pedals on, will the preset be beamed to the correct pedal without ruining the settings on the other pedals?Tha...",awareness,0.432
Guitar level low when backing track is playing,FrankWittenbech,"Hi,I play an e- guitar with a piezo pickup on stage. Some songs are supported by backing tracks. I plan to start playing the git with an ac-git sound and when it comes to the git solo I switch the sound which is louder t...",awareness,0.587
Ditto x4 looper dual mono with 2 instruments set-up,datamouth,"i have a questionaccording to the ditto 4x looper manual it says i can run one instrument thru the left input and our the left output while running another instrument thru the right input then out the right output, each ...",awareness,0.486
Feature Request: MP-76 Loop Trigger Control,BenPearce,I'd like to be able to trigger loops from the MP-76 the way I can with button maps on the Switch 6 and main unit. It would be extra cool if there was a trigger A/B button where I could vary between triggering loops A and...,awareness,0.684
Serial Mode does for button map looper control?,BenPearce,"I control my looper with via mapped buttons in the guitar and vocal layers. The button map looper controls seem to start a loop the moment the button pressed; even if the looper is in serial mode, which to my understandi...",awareness,0.709
Loop Mix Save Counterintuitive,BenPearce,I find it counter intuitive going into the looping layer to save my settings on the loop mixer. Would you ever consider changing it so loop mix changes could be save with the 'store' button; like most other preset change...,awareness,0.727
EQ and/or Compressor without BodyRez?,TobiasPlonski,"Play Acoustic has most recent update. The manual says ;"" Amount settings lower than 10 will limit the range of any EQ, compression and ambience settings you can adjust when in BodyRez Advanced mode.. so I have to totally...",decision,0.52
Harmony only out from Play Acoustic?,TobiasPlonski,I'd like to be able to get the harmony output only without my lead vocal part. Does anyone know how to do that with the Play Acoustic? Would be nice to get lead vocal only from one output and harmony only from the othe...,awareness,0.524
BH250 toneprint gain loss,MaxMartigan,"Does anyone else get a noticeable loss of gain when turning on toneprints?I have a Loopi aux switcher pedal that activates & deactivates the 2 toneprint slots, but whenever I activate a toneprint, I lose at least a c...",awareness,0.654
Cannot set SLOW echo tempo with Mic Mechanic,DamienMoyal,"I have no trouble setting the tempo for Mic Mechanic's echo/delay function until I try to go to a lower tempo (halftime, for example)... At that point the pedal thinks I'm just switching it on and off, rather then tappin...",decision,0.533
How do I overcome distortion using the guitar cord/headphone...,AndrewMackie,"Hi All,I just can’t seem to get rid of distortion when using the supplied TC Helicon guitar/headphone strap.I find that I always have to use my powered speaker to hear how my setup sounds.What am I doing wrong? I set the...",awareness,0.385
All FAQ links are stale,markie,Hey all.. the sticky FAQ post has links that all go to Page Not Found landing pages.,awareness,0.627
Levels problem w/ using expression pedal to control fx mix,tontokoskinen,"Hi,here's what I'm doing:I have the gmaj in my rack, in series, wired in stereo.I have a patch with some chorus+delay, for which I control the mix from 0-100%with an expression pedal. Now this is working fine, except tha...",decision,0.412
Adjusting Presets,VernonNeeley,"Hello all and thanks again for granting access to the Forum. My voice is similar in range to Barry White, so when I use the Bari White preset, my voice comes out an octave too low. Is there a way to adjust octave param...",consideration,0.358
Backing tracks not changing presets when opened using the li...,VernonNeeley,"Hello and good evening! I am a very new VL3X user. Please excuse if this topic has been answered or previously asked. When I use the list option to change to a new backing track, the preset doesn't change. For examp...",awareness,0.62
MIDI settings for getting started with Perform VK,GauravDubey,Hi All !I am just a pianist and I am new to digital music. I plan to get started with Perform VK with my Casio Privia PX-560. Do I need to make any specific MIDI settings on my PX-560 when I connect Perform VK to it or w...,decision,0.308
Download TonePrints,TcEkectronicUse,The BH250 manual says: 'You can also use your computer to download TonePrints from tcelectronic.com/bg250/toneprintsI could not find TonePrints over there.Has the link been changed? Where can I download TonePrints?,awareness,0.684
