TITLE,NAME,COMMENT,LABEL,CONFIDENCE
Flashback 2 no dry signal through stereo output,Bender1012,"Hi, I just got a Flashback 2 second hand and I'm not getting dry signal through the stereo output. Wet repeats are heard through both just fine. I read up on the dip switches and they don't help. In kill-dry mode it kill...",awareness,0.618
Quintessence Toneprint - setting an absolute pitch instead o...,Bender1012,"Hi, I own several TC pedals and like them a lot. Thinking of getting a Quintessence to use with my monophonic synth as a way to make it do multiple voices. One song I want to play has the same droned note on every chord....",,
WireTap,asher5017,HelloI bought a used wiretap. Dowloaded the app. The phone recognize the pedal but the pedal does not connect to the phone. What am i doing wrong? Is there a problem with android? Maybe the app?,decision,0.451
VL3 I have no sound from AMP,JulieCombs,I bought my dad the Voice live 3 last year. I hooked it and we had vocals through the PA and Guitar through the AMP he used it for around 8 months like this. I recently bought him a recording program and he decided to mo...,decision,0.615
HOF MINI ISSSUE,Cashewspaw,"My HOF mini is acting up, takes toneprints ok, using 300Ma power supply. what it does, breaks up when played thru more than 30 seconds seems ok in first 30 sec. when it breaks up it emits an electrical noise thru the am...",awareness,0.454
Chord Shifting - Quintessence or Brainwaves,glennkav,I have a Digitech Whammy that has the Classic/Chords option switch and I love to use the Chords option. I'm looking at either the Quintessence or the Brainwaves to replace it simply for pedal board space and a little mo...,,
PC Gaming with Shure SM7b/Voice Tone Correct XT/Auident id14...,RyanMelander,"Thank you so much for taking the time to read my post and offering any assistance. I really could use some of your audio professional and audio enthusiast help. I am a 46 year old, business professional that absolutely ...",,
Gauss Tape echo and 3rd Dimension in amp effect loop,oliviervgirard,Hi!I'm interested in those two pedals but can't find any infos if I they play well in effect loops or not.Anyone tried it already? Is there a huge volume drop or signal distortion?Thanks!,awareness,0.682
Ditto X4 Firmware updates problems,cedardreamer,"i am having problems with my ditto x4 and am hoping a firmware update can help. im noticing very annoying skips or ""pops"" at the end/beginning of every loop. i make ambient music and was hoping the ditto x4 would be a gr...",awareness,0.682
Using 2 Harmony G-XT’s in a duo,PatrickMontefus,I’ve been using a Harmony G-XT as a solo singer/guitarist for about ten years now. I’ve recently started playing as a duo with a bass player who sings also. He has purchased a G-XT also. My question is: can I run the gui...,,
Noisy fan is continuously running,DarleiAbreu,"Hello there,I was surprised hearing my new (out of the box) DM12 fan running immediately after power-on (still cool), in a air-conditioned room. I was kind of surprised, since the turbulence noise is not negligible. Why ...",,
Ditto Looper AC Adapter,Philbert68,What kind of adapter do I use to power the basic Ditto Looper? There are no requirements or instruction anywhere.,awareness,0.263
Ditto Looper Battery Installation,Philbert68,There is no documentation on how to put a battery in the Ditto Looper. Do I have to get a “star” screwdriver bit and take the bottom off? I didn’t want to just start taking the thing apart. Thanks!,awareness,0.501
Polytune 3 Firmware update,savoyard1217,"I'm trying to find a link to the Polytune 3 firmware update, but every link I find appears to be dead. Is this available anywhere on the TC Electronic website?",awareness,0.708
Connecting Perform VG to Fishman SoloAmp?,JackBandel,"Hi. I am new to live gigs and just bought a TC Helicon Perform VG to use with my Fishman SA220 PA system. Question is.....how do I connect it to my Fishman? The Perform VG has one XLR Out and a 1/4"" Out, which is a pass ...",,
Play Acoustic Guitar Sounds,Mhyyj,"Feb 2019After suffering through repeated failures of my Play Electric unit in live performances, we switched to my Play Acoustic, with firmware 1.3.00 Build 48, loaded in via Voice Support 2 1.1.00 Build 136.Somewhere ...",awareness,0.92
VL3X Looping Lag Time,FrankDiskin,I have noticed that when I create or import a loop to my VL3X and play the loop there is sometimes a slight lag between when I press play and when the loop starts playing. Some songs I have created loops for require me t...,awareness,0.711
umod,BrucePipke,Can anyone tell me what the speed setting does.,awareness,0.684
Is Gilmours Strat really the first?,jesmikkelsen,David Gilmour decided to sell his guitar collection among them a Fender Stratocaster with serial number 0001. Is this really the first strat ever? icons1902,awareness,0.615
Flashback 2 mono->stereo bug with external tap tempo swit...,hermanzaum,"Hi guys,I believe I've found a nasty bug in the latest Flashback 2 firmware related to using its mono input and stereo outputs and then enabling the external tap tempo switch feature.Thanks in advance to anyone who also ...",,
How can I use the buttonmap to turn G amp on and off within ...,DaveBeal,"I'm trying to use the buttonmap to assign control of G amp guitar effect in my Voicelive3 Extreme. Although I can assign G amp to the Hit button, go to the amp effect tab and see the Hit Control icon spin, the amp remai...",awareness,0.576
Loop volume VoiceLive Touch 2,AnnaMira,"Hi! I'm trying to adjust the loop volume after recording a loop. The end goal is to be able to gradually mute and unmute a looped track. I see the ""mute"" function, but it only switches the volume from current to 0 instan...",awareness,0.653
Advantage Voice Live Play over Play acoustic?,FlorianMöbius,"Dear Community,I am thinking about getting a TC Helicon Voice Live Play to create harmony-effects with my saxophone. I really liked the sounds, when another soxophonist showed me what he was able to do with a VoiceLive 2...",,
Does the PM system work at all?,ScottTribbey,"I have tried PM'ing a number of the administrators around here with a question and the Send option never does anything.What's the problem?Thanks,Scott",negative,0.363
Splitting output to dry and wet signal,SamClark,"Hi all,In the manual it says that setting the output to Mono will send the wet signal to the R output and the dry signal to the L output. However, I'm getting the wet signal from both outputs whether I set output to Mono...",awareness,0.562
Nova System Firmware Update,TEPrewitt23,Is there anyone that can direct me to simple diagrams/information on how to connect and update the firmware for Nova Systems? USB to Midi cable? The manual does not address this process in any way....which is a little ...,awareness,0.711
VL3X Tuner does not let me tune E and B string on bass guita...,heartmood,"It's quite in the title. My VL3X did a good tuning job even on the E and B strings of my six string bass, but now it does not react on those two strings anymore. I still can use the 12th fret harmonics, but I'm sure, it...",,
Smartwah on off clicks VL3X,heartmood,"The ""smart wah"" is a very useful feature, but it clicks when the expression pedal is engaged and when it switches off the smart wah (in heel down position). I use a Source Audio Expression pedal but with the M-Audio it's...",,
Nova System Effects,TEPrewitt23,I have found conflicting information about the effects in this unit....are they analog or not?tks,awareness,0.648
Alter Ego Vintage Echo x4 presets mess,gintrnis,"Hello,my pedal became a mess. All factory presets are replaced with the one I save last. There is no pattern. So if I switch A on, turn knob to TR ORGAN, it's ok, I press B, there is latest preset from latest save from a...",awareness,0.711
Nova System Compressor,TEPrewitt23,"Can anyone from TC tell me if the compressor in the Nova systems is 3 band, similar to your Hyper Gravity pedal? tks",awareness,0.365
MCA 100 aditional LED for status,ArminSchmitt,"It would be great if there would an version of the mca 100, which indicates when the function is activated (eg HIT on) via an LED de - switched function -> LED on and with deactivated function -> LED off.One would ...",awareness,0.92
MCA 100 - improvement with a LED,ArminSchmitt,"It would be great if there will be an execution of the mca 100, which indicates when the function is activated (eg HIT on) via an LED de - switched function -> LED on and with deactivated function -> LED off.The ad...",awareness,0.533
(Toneprint) Pedal wont connect to Mac,greenphazon,"This is on Mac OS Mojave with the newest Toneprint editor from the site.So I've got my new subnup mini pedal, got the app installed, the pedal is powered up and connected via USB.The Toneprint app won't find the pedal an...",awareness,0.42
The Dreamscape problem!,Alexman17,"I bought 2 days ago a Dreamscape pedal...The beam with the phone doesn't work, the led doesn't turn to green...I need the firmware, but they deleted it from the official page...Does anyone have a firmware for this pedal,...",awareness,0.671
https://create.piktochart.com/output/36027183-latest-feb-19-...,Gamehacker,"Fortnite v bucks free no human verificationhow to get more V-Bucks for free in Fortnite Battle Royale, with a breakdown of how to earnV-Bucks from daily log-ins and quests To bag your cosmetic goodies, you'll be You've v...",awareness,0.595
Vyzor editor link,pauldf,How's things guys Does anyone know of a working link where I can download the Vyzor editor for windows. Cheers.,awareness,0.627
Quintessence Stereo Detune,Mitchell_86,Hey was just wondering if there was a way to have a stereo detune setting with this pedal like -5 cents going left +5 cents going right all wet signal no dry,,
delay,MikeB,hiis delay good on these? running stereo?thanksmike,awareness,0.779
VoiceLive Play Buttons Don't Work?,JesusMartinez,Wondering if anyone has had this experience. I just purchased the VoiceLive Play and was super excited to use it but I turned it on and it loads and lights up but it's stuck on the first preset: Elvira and I've pushed ev...,,
"Voicelive Touch 2. Works fine with ""normal"" mic. W...",JackAtkins,"Like I said, the unit works fine with a normal dynamic mic with an XLR cable.When, instead, I plug the gaming headset in with a 3.55mm to XLR adapter, it seems like no signal is going through at all. I can't hear any inp...",,
VoiceLive 2 doesn't generate harmonies reliably. Latest ...,RobLewis,"Since I got the unit a few years ago, it has never worked reliably. When it works, it's great. But often it just won't generate harmonies. (I'm using it with separate patches for guitar and MIDI input) Sometimes switchin...",decision,0.384
Some patches start as soon as selected. Any global way to pr...,NormDunn,Here are a few examples of the patches I've found that just go as soon as selected:A-121 Moving Along RDC-70 Evolution Pad RDC-83 Ethereal Pad RDC-113 Years After RDD-2 Modular KASeems to be because LFO1 is routed to VCA...,,
G system acoustic configuration,Paulandreas,"Hi there i'm french so please excuse the possible faults.I don't know if i'm in the right topic but i know i do need you'r help.I have venues comin on, and i'm a bit lost with my rig.I have:•gibson j45 acoustic guitar•s...",awareness,0.612
HoF2 broken?,psy,"Hey everybody.I bought a Hall of Flame 2 one month ago and since today I can't turn it on anymore. I checked on the pcb to see if something was broken but can't see anything wrong.The pedal bypass work, the alimentation ...",awareness,0.722
Play Acoustic and Tonedexter: How to play nice together?,DanielBogard,My tonedexter comes today-super excited!Anyone have advice on these pedals playing nicely with each other?I assume I'll turn off the bodyrez in the Play Acoustic.Should I put them in series (ie guitar>td>play acous...,awareness,0.69
VSL 3 Extreme Cloud patches,ChristopherStat,I have the VSL 3 Extreme. Updated the latest firmware 2.1/366 I think. Via voice support 2. All went well. Sent Bodyrez 1-5 patches to my unit. Works well. I was looking at the literally hundreds of cloud patches availab...,,
serching documentation - Behringer eurolive b312a/b315a,ArkadiuszLewick,I need service manual/schematics for my Behringer eurolive b312a/b315a with lpx400 board. If anyone have pls send to:erulogoss@gmail.comthanks a lot,,
KXD12 signal too hot for most PA's,JohnSunter,I have two Ultratone KXD12 keyboard amplifiers and most times when I am going through the PA the engineers say that the signal they are getting from the amp is too hot for their desk. The last time I ended taking the sig...,awareness,0.339
Bugera V5 power cord length,EstebanDelgado,"Hi all, I need to know the length of the Bugera V5’s power cord. I’m in the hospital and I want to buy a V5 so I can play guitar here, but they don’t allow extension cords, so I have to make sure the amp’s power cord is...",awareness,0.551
Harmony Singer/Helicon C-1,FredErben,Can I use a Helicon C-1 Pitch correction box in line with a Harmony Singer 2???,,
Is TriRec Discontinued?,DionChristodola,Currently here in EU biggest retailers dont have them listed. I've contacted both Thom.. and MusikSt.. and they responded that they dont bring the amp anymore.Is there any info?,,
Gang backing vocals using VL2,ToddPlesko,"Hi, does anyone have a good suggestion or a patch they could share? Thank you so much in advance!",awareness,0.711
Shout vocals/chours (noob question!),ToddPlesko,"Hi, i am in a cover band and am the only backing vocalist and not very experienced. We do many songs where there is a group of backing vocalist shouting and not singing in harmony, per se. A good example would be the ""...",,
Love the VL3 but support reeks!,CathyMurrell,I’ve got the manuals and all that I know to use but still am having problems using my VL3 with the Switch 3!First of all why should you have to jump through hoops to get support? I gave all of the information on my first...,,
Quintessence Harmony Toneprint bass doubt,DJKunan,"Hi, I would like to know how many notes can I program with the toneprint app. I see the effect can play a harmony of 3 chords (current note + 3rd + 5th), but, can I also add a fourth note for the bass, let's say (current...",consideration:awareness,0.42:0.357
Using Steps With Voicelive Rack,J_Gil,The VoiceLive Rack just arrived the other day. I was working with steps and I came across an issue.If a preset I'm trying to copy from has two steps there doesn't seem to be a way to move to the second step and copy th...,awareness,0.624
Ditto X4 All Start?,Colloboss,Could we please have an all start function in a Firmware update? It surely isn't too difficult to make the 'Stop' button a 'Start' button if you press it once whilst the Loops are stopped. I can't see why this hasn't bee...,awareness,0.682
MASH switch,joshuab,"Hey guys,Two weeks ago I bought a Hall of Fame 2 reverb, and I really dig the sound of it.The reverb types are great and I'm liking the MASH function too, it really adds to the diversity of the pedal.The MASH switch work...",,
Connecting Nord to VL3 HELP!!!,LindsayYoung,"Essentially what I would like to do is get the harmonies from my nord for the vocals, but have the keyboard unaffected and straight to the mixer. I have tried the thru port and that has not worked for me either. The only...",decision,0.708
Hall of Fame 2 Kill/Mute (Toneprint 3 style),matthewwimer,The default toneprint 3 is ambient style where you play muted and press the mash to bring forth sound. I've been trying all afternoon to figure out how to turn on the mute but can't find anywhere how to do this. I previo...,awareness,0.474
Punk Rock and Pitch Correction,AlexMitchell,"Hello AllDoes anyone here use the pitch correction in a punk/rock/metal band at all? The reason I ask if that I'm the singer in a covers band (Foo's, Blink 182, Green Day etc) and find it's not very effective with that s...",,
TC Helicon Singthing Pitch button,SusanFerros,"Just received my new Singthing and there seems to be a problem with the pitch button flickering on and off intermittently. It also decided to do a factory reset on its own. It gets warm on the right hand side, I also h...",decision,0.444
Play Acoustic - Guitar level IN/OUT/MIX help please,markmcilvena,"Hey Folks,I'm having a few sound quality issues with my guitar distorting.Can't help thinking it's a 'gain staging' issue. First .... my setup:Maton 808 Acoustic with built in AP5Pro pickup system -> Play Acoustic -&g...",awareness,0.586
Voicelive play vs voicelive 3X,MicheleMancusi,"Hi, I am new in this forum, I would like to buy vocal effects from TC Helicon but I don’t know which ones. I would like to know if voicelive 3X has only much more vocal effects (and guitar effects) with respect to voicel...",,
"FREQ dont work when keytracking is on (using CV, works fine ...",MartinVincent,"I played around for some hours, all worked fine. Turned off Neutronfor few hours and when on again FREQ knob had no effect at all when I turned keytracking on. With KeyTrc off it works fine. I have beatatep pro setup as...",decision:awareness,0.668:0.555
Harmony Singer 2,FredErben,Can I run a Boss AD-2 Acoustic Pre Amp pedal through my Harmony Singer 2???,awareness,0.682
Chorus-D Mono/Stereo switch not working.,AlainHubert,"Title says it all. Latest firmware installed (1.1.2).The effect is always in stereo mode, no matter how the Mono/Stereo switch is set in the effect controls.",awareness,0.678
Stomp Box Pitch Correction Equivalent,AlexMitchell,Hi guys.More of a wondering than anything else - My bandmate has a mic mechanic and for default pitch correction the knob is set at 12 o clock. I've noticed with many smaller stomp boxes that it's the same and I was just...,decision,0.387
"DeepMind en español , grupo facebook",KikeVila,"Hola, echaba de menos un grupo dedicado a DeepMind en español. Espero que funcione , y dejar pronto de ser el unico administrador. Quiero que sea abierto a TODOS lo idiomas. No se trata de competir con otros grupos, Más ...",awareness,0.317
mic mechanic 2 and simple in ear solution?,AlanSettle,playing out live with mic mechanic 2 pedal .I was wondering if anyone had any good cheap alternatives for a bit of in ear monitoring with that. I used to use a nady e03 with a preamp/delay pedal. Since the mic mechanic...,awareness,0.233
Bugera ULTRABASS BXD15,GregMartinez,"I recently received a new ""Bugera Ultra Bass BXD15"". I'm very pleased with the tones that I can achieve, and the easy to use EQ system, the power of this unit. At this time I've only used it live, I'm sure that it would ...",decision,0.667
Advice on best way to add a Roland GP-100 to G System,ctxuk,Having just bought a used G system and finding it falls short in areas (inconsistent tuner working) I would like to add my Roland GP 100 to the system. at the moment I am using the 4CM to connect the G System with a Morl...,decision,0.344
Is VL3 MIDI implementation really this bareboned?,BryanHaney,I've been trying to decide between a VL3 and VL Touch 2. Use case is purely for vocal processing / looping.I read through the entirety of both manuals.I was leaning towards the VL3 until I saw the MIDI implementation cha...,consideration,0.62
The two letter abbreviations on program names?,NormDunn,"Hello and thanks for reading,What do the letters on patch/program names mean, like JD, BC, RD, KA, DG, DK, etc.Thanks",,
toneprint editor on android - no editor thru usb,lcpr6,anyone have the EDITOR working with usb (usb to go I assume?) on android phone or Kindle HD?I have alter ego (both versions)]Trinity T2HypergravityNothing recognizes thru the USB to allow editinglates apk from google pla...,consideration,0.687
Volume mix on Perform-VK?,DariusJavidan,"Hello,as far as I have understood, Perform-VK outputs a mix of 3 different audio tracks:* Voice (=Mic In + effects)* Instrument* AuxHow to adjust the volume of each track in order to make my own mix? There is no physical...",,
Compatibility of Perform-VK as USB Audio Interface with IOs ...,DariusJavidan,"Hello,I have read on the product page that the audio interface of Perform-VK can be used on computers running Windows (using a driver) or MacOs (without driver).I could not find any information about the compatibility wi...",,
Flashback 2 settings page,RichIfz1,Just now trying to get this up and running. Bought a MXR tap tempo and am trying to get to the settings page on the tone print to enable tap tempo. Have yet to find that. Any help will be appreciated.,awareness,0.209
VL3E Display symbols,RobinMcDonald,I am new to VL3E and am still finding my around the basics of the machine. I have an issue with a symbol that has appeared on the display which I have no idea how to get rid of it. All I know is that it seems to indicat...,awareness,0.414
Voice Live GTX,PeterMillington,"Hi, I've purchased a second hand Voice Live GTX which is in immaculate condition and has rarely seen the light of day. All works as it should but I'm having some difficulty with using it with the Room Sense microphone...",decision,0.443
G System Presets,ctxuk,Hey there - just purchased a used G System and looking for presets I can download for it. I have the Red Hot Edition Presets and the Factory Set from TC Electronic.... where though do I get more please. Interests inc Roc...,awareness,0.524
VK receiving Midi Tempo from Cubase 9,ThomasThielen,"Hi, sorry to have 3 questions at once, but I m under time pressure.Is there a special trick to make VK receive tempo changes that occur in Cubase? Or just connect to Midi Out? Sorry, I could not find out so far!Thomas",awareness,0.492
Lock tuning instead of Tune Pot Bypass,FelixHomann,"Hi,almost on a weekly basis questions come up in different places (FB, Gearslutz etc.) about the Tune Pot Bypass mode. The usual scheme is that people experience an unexpected tuning jump when they switch to Tune Pot Byp...",awareness,0.233
Steel Drum Setting anyone?,AndyHladek,Anyone have a preset setting for a steel drum sound for the VL3 that you can share?,awareness,0.393
Support,CathyMurrell,An actual live tech to walk us through problems would sure be nice!,awareness,0.218
Help with midi I’m VL3,CathyMurrell,I am used to using my Harmony M with my Yamaha PSRS-970 keyboard and it tracked my midi notes played on the keyboard just fine but I wanted the quality of the effects like on my wife’s (I’m her husband ) Play so I bought...,decision,0.525
Voice live 2 lack of output and lots of noise,MattPalmer,Ive played with the settings and I can't seem to get rid of all the noise. I'm just running a single microphone through it with phantom power. If I take the voice Live 2 out of the equation I get tons of signal. if the ...,awareness,0.617
Perform-VK and Kemper Amp,ThomasThielen,"Hi again,I d need my Kemper to set the MIDI tempo for VK. How can I do that? There s no key to hit to get the channel working...Thanx!",awareness,0.588
VK Hit - Amount of Effect,ThomasThielen,"Hi!I d need HIT to change the amount of the fx that are already on: E.g. I need a delay volume of -35 in the verse and then change that to -15 in the chorus on hitting, uhm, HIT. I can t seem to program that. Is that me ...",awareness,0.727
Polytune 3 Buffer when Passive/Unpowered,dtodd6,"Hi...I recently bought a Polytune 3 tuner and set it to the Bonafide buffer via the internal switch. The specific setting I opted for was ""Buffered Bypass"" and not ""Buffered Bypass Always On.""The tuner happened to become...",awareness:decision,0.383:0.512
"Only 1 day of joy, LFO missing in action",AjayJames,"Hello,I received my new neutron yesterday, played with it around 5 hours. It was being sequenced via midi from my mic live.At some point started noticing offset pitch values when wanting to start a clean patchJust sounde...",decision,0.907
Talkbox Synth Pedal: Can anyone tell me whether the guitar b...,MichaelGregory,"Consider this a thought experiment, so as to forgo the discussions of analog vs digital, perception, etc. I am putting together a new pedalboard. The signal at the end of the pedalboard must not touch an ADC. Talkbox Syn...",awareness,0.532
Harmony g-xt in Chain with Voice Tone T1,AdiSimon,"Hi, I´m Adi from Warstein/GermanyI got two different minimixers to chose, for my ""A man with a guitar"" - performace. The bigger (6 CH) one has a compressor inside, the smaller (2 CH) one has not (but it has the finer sou...",consideration,0.671
Is there away to control the volume of audio coming from the...,JoeGillespie,"There, the title says it all!",awareness,0.364
Whats the story on the VoiceLive 3x USB ports?,JoeGillespie,"I have been trying to connect my iPad Pro 2018 to my VL3X to change presets from OnSong. I have the Apple Adapter (USB-3 to USB). When I connect to the large USB socket on the back of my VL3X, nothing happens but the sma...",consideration,0.401
NDR-1 : No reaction when I plug the power cable,pFiolas,"Hello,I got a second hand but almost new NDR-1I played just twice with for a short time playing but now when i powered the pedal, it's like dead (no display, no delay, no rev, looks like no power). i use the TC Helicon S...",decision,0.595
My VL3 is not recognising my USB stick,JasonKyrone,"HelloHas anyone any idea as to why my VL3 has just suddenly stopped recognising my USB stick, I've even tried a brand new one and it just says no file selected ,Cheers",awareness:negative,0.588:0.409
Is there a sysex to send tempo to VL3X,NeroRox,Im using setlistmaker and i want to set up my presets to send a system exclusive message with the tempo value rather than using the midi beat clock on setlistmaker.I read some of he info posted on the forum to change pa...,awareness,0.766
VL3X some weird issues,NeroRox,"Hi all, so I got my VL3X back at the end of december, while im extremely excited with all it's features i've noticed a couple of VERY strange things. Maybe somebody can tell me if these are to be expected.I'm running FW ...",,
Play Electric Fail at a Live Show,Mhyyj,Greetings AllI thought I'd share my very recent experience with my Play Electric when the unit failed mid show. Twice in one night. I play at resorts in Mexico and the Caribbean for a good chunk of the winter and north ...,,
Scales Reference Chart,SamClark,"Hi all,Could someone explain the difference between the scales Maj 1-3 and Min 1-3 please? I have seen the reference chart and it doesn't explain very much. I assume the Maj 3 scale is mixolydian because it contains a Bb...",consideration:awareness,0.387:0.401
Save / backup / edit existing toneprints from Flashback X4!!...,N471v3,"Hi,I have an awesome Toneprint which I created by myself on my Flashback X4 Device month ago.Now I would like to load that into the editor, save it on my iPad or PC, and maybe edit it and save it on device. In other word...",awareness,0.498
Ditto Looper: Drops loops,Mephisto40K,"Hi,My Ditto Mini: I will record a 5 second loop and then trigger it to play. The 6th and 7th (and sometimes 8th) repeat it will corrupt--get all off tempo and drop notes. And then? Back to normalFor another 5 or so b...",awareness,0.537
Gate issue?,ScottL_Hines,"Firmware 2.0.0I feel somewhat foolish posting this, but I've run out of ideas. When I plug a controller into the Neutron I have a continuous tone. Whatever the last key played, it continues — never fades out — until I p...",awareness,0.756
Victory Kraken,DazBlade,Has anyone used the g system with a victory kraken? Can you switch the channels and use this to boost for solos?,consideration,0.233
Perform-V preset help PLEASE,RichardWillerto,Please may I ask for your help?I’m an amateur male vocalist with very limited technical knowledge. I own a mixing desk with built-in vocal effects that I cannot work correctly. I have bought the TC HELICON Perform-V bec...,decision,0.29
Turning on...,JasonHipkiss,"Hi,Any help greatly appreciated. Just got my new Neutron - amazing synth. Only thing is, when I turn it on, sometimes the lights turn on immediately and it runs through its start up, but sometimes I have to wait between ...",awareness,0.65
Toneprint App Android w/o OTG,tkroepelin,"Hello everybody,I used the toneprint app last year on my Samsung S5 Mini. Now I cannot reload it from App Store, because my device is not compatible (Samsung S5 Mini / Android 6.0.1).I think it is , because Samsung S5 Mi...",awareness,0.577
Voicelive Touch 2 - Stock issues in Europe,AlainBegue,"Hi all,I'm new here and have ordered a Voicelive Touch 2 from Gear4Music in the UK but delivery has already been delayed twice. At Gear4Music they tell me that the problem is with TC-Helicon providers that give them unre...",negative,0.444
Flashback mini reboot loop,ashwin_nat,"Hi, My flashback mini pedal keeps rebooting on and off in an infinite loop. Please help.Here's a video of it.https://youtu.be/JumGUszPjoAThanks,Ashwin",awareness,0.646
Buttons not working,WillKronk,deleted,awareness,0.907
Feature request (or maybe an adjustment to the firmware?),LarzHanson,"I've played live a few times now with my VG. I haven't used the vocal effects as I'm not the lead vocal in the trio I've played with, but I'm loving the ease of use and sound of the guitar effects. One thing: The solo bo...",,
PLEASE... Have backing tracks change as soon as program is c...,JohnShelley,To the powers that be...Could you PLEASE fix what I see as a bug (hope it is not a 'feature') in regards to backing tracks and program changes.The way it works now is: if a backing track is still playing and you change t...,awareness,0.482
Hissing noise on Harmony Singer 2,FilgardoManlimo,"I purchase HS2 last December 2018 in Thailand. When i connect it to my system there is a hissing noise, when i add more gain the louder the noise. I already update the firmware Via Voice Support, try another xlr cables...",awareness,0.48
This one would be nice...,DennisDubeau,"Having the capacity to set a pair of looping points onto the waveform of the backtrack would be a killer... for extra solos, mainly... I don't think that it would costs a lot as to memory or design/programming time ...",awareness:consideration,0.84:0.294
Ditto Jam 2x and tape echo,RonnieMarler,I am using my Jam 2x with an echo effect on guitar. Beat sense is all over the place. I don't use a drummer so I cant mic a drum for tempo and there is no way to sync the echo tempo to the looper tempo.ideas?,awareness,0.625
No output from G-major2,GmajTess,"Hi all,This is my first post here as I was given a (older?) G-major2.It worked fine in the setup of the previous owner.I did a full reset and updated it to 1.02.Now there is no output at all!My setup is guitar > treb...",awareness,0.643
Pitch Bend Wheel and Mod Wheel color,StevenHenson,Both my Pitch Bend Wheel and Mod Wheel are translucent in color including the textured edge. All of the images and videos I have seen online of other users' DEEPMIND 12 have a dark colored textured edge with the rest of ...,,
TC June-60 chorus pedals,grinning_moom,What happened to them? They were up for preorder earlier ths year but I cant find aby info on them now?,awareness,0.722
"Loud pop from a Bugera v55 Infinium, then nothing",JamesKaihatu,"Got my v55 Infinium yesterday. Played a bit and all was well. Turned it on tonight and heard a loud pop from the back of the unit. Now no power, no jewel light, nothing. Have a service request to Bugera now. Is it the tu...",,
Aux & Guitar inputs to Loop cycle together at the one ti...,conskee,"On my VL 3 Extreme I would like to have the signals from the Guitar input and Aux input record when I am creating a loop. There is the option to do this with VOX and Guitar, but not for Aux and Guitar at the same time An...",awareness,0.588
Perform-VG Using AUX input instead of guitar for harmony cal...,MarkGlass,I am trying to have playback of a previously recorded acoustic guitar track routed into the AUX input on the Perform VG to use as basis for figuring the harmonies for the purpose of separating the vocals and guitar track...,awareness,0.197
Guide for using the 1.1.1 Synth Tool for calibration?,DaveDuncan,"Hi there! I just got the Model D yesterday and noticed that for Oscillator 3, I have to turn the pot up nearly a semitone in order to get it in tune with the A-440 test tone. I'm thinking a calibration may be in order. I...",awareness,0.502
Turbosound Speaker Model for 112TS - Availability for Separa...,JohnButts,I'm thinking about purchasing the same Turbosound speaker that came in my 112TS to use in a 2x12 cabinet. After searching the MusicGroup and Turbosound web sites I wasn't able to locate a Turbosound speaker/driver listin...,,
Play GTX - Harmony and Auto tune,DavidAlexBrown,"Hi there,I am sure this has probably been covered somewhere however only got my unit yesterday. Is there a way to turn off harmonies for all presets and also auto tune.I don't want them on any, just effectively want to u...",awareness,0.532
Perform-VK USB Audio Volume,drehinton,How would I turn up the output volume or gain on the USB Audio... Am I limited to only DAW gain staging? (If i'm speaking correctly),,
R33,mkspriggs,Does anyone know what the small relay above the 12 pin connector is for? R33 is what it says. I'm replacing that cable and they had glue all over that relay and it came right off,awareness,0.84
URGENT!!! Strange MIDI behaviour in Poly Chain mode.,SimonBeck,"Some controllers send Note-off messages in the form of Note-on with a velocity of zero. Normally this doesn't matter in terms of the Neutron, but in Poly Chain mode it causes notes on the Neutron to hang indefinitely, wi...",awareness,0.711
VoiceLive2 Help ?,JamesHill,"Hello, I'm using VoiceLive2 and I only want gentle pitch correction. Using the Preset ""GENTLE CORR 10%"" it seems to do that well, but my voice sounds *Over Processed* What settings do I need adjust to fix that, and still...",decision,0.618
Distortion from LFO when shape knob is set to extreme clockw...,BrandonDorris,"Apologies if this has been posted; if so, I overlooked it.On my Neutron (pre and post 2.0 firmware) a ton of noise/distortion enters the oscillators when the LFO shape knob is turned all the way clockwise. Backing off ju...",awareness,0.628
Bugera FSB106A alternative to switch 6?,SteveKemp,Does anyone know if the Bugera FSB106A will work on the voicelive touch 2?,consideration,0.687
Factory Reset,TimAnderson,"I've updated the firmware to the newest one. I was wondering if I do a factory reset, will it go back to before the firmware update, or is the firmware update the one it will reset to.Thanks in advance for the help and ...",awareness,0.551
Gating noise from Vocal and guitar XLRs with Play Electric?,MichaelBalogh,I've been using the box for a couple of years setting the input gain (really 'gains' since mic and guitar are not provided with separate fine controls) then feeding separate mixer channels adjusting gain there as needed....,,
Online VoiceLive/OnSong MIDI utility,JoeGillespie,I did this for the members of the OnSong FaceBook Group. It is a web page where you can enter Program Changes and CCs and it generates the OnSong MIDI string for you. Works with two devices so I can control my VoiceLive ...,,
Voice #12 panned hard right,MikeMuggli,Just got a new Deepmind 12. In the store it wasn't hooked up stereo (I bought the display model since that's all they had left) so I didn't hear this at the time. But voice #12 seems panned hard right all the time. If I ...,,
Should I get a NEW VL3E or go with a different Vocoder?,MichaelBird,"So I got a brand new VL3E, and after the second time using it, I got the blue screen of death. A factory reset didn't work. Luckily, it was under 30 days so I was able to send it back to Amazon.My question is, should I t...",awareness,0.548
